,wrapperType,kind,collectionId,trackId,artistName,collectionName,trackName,collectionCensoredName,trackCensoredName,collectionViewUrl,feedUrl,trackViewUrl,artworkUrl30,artworkUrl60,artworkUrl100,collectionPrice,trackPrice,collectionHdPrice,releaseDate,collectionExplicitness,trackExplicitness,trackCount,trackTimeMillis,country,currency,primaryGenreName,contentAdvisoryRating,artworkUrl600,genreIds,genres,artistId,artistViewUrl,previewUrl,discCount,discNumber,trackNumber,isStreamable
0,track,podcast,1520231261,1520231261,SUNNY music,Emiway Bantai,Emiway Bantai,Emiway Bantai,Emiway Bantai,https://podcasts.apple.com/in/podcast/emiway-bantai/id1520231261?uo=4,https://anchor.fm/s/260fd964/podcast/rss,https://podcasts.apple.com/in/podcast/emiway-bantai/id1520231261?uo=4,https://is2-ssl.mzstatic.com/image/thumb/Podcasts123/v4/b4/a4/f4/b4a4f49a-d15e-5612-c911-71d01ef5ae38/mza_11540139632533473606.jpg/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Podcasts123/v4/b4/a4/f4/b4a4f49a-d15e-5612-c911-71d01ef5ae38/mza_11540139632533473606.jpg/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Podcasts123/v4/b4/a4/f4/b4a4f49a-d15e-5612-c911-71d01ef5ae38/mza_11540139632533473606.jpg/100x100bb.jpg,0.0,0.0,0.0,2020-06-24T15:44:00Z,notExplicit,cleaned,1,18,IND,INR,Marketing,Clean,https://is2-ssl.mzstatic.com/image/thumb/Podcasts123/v4/b4/a4/f4/b4a4f49a-d15e-5612-c911-71d01ef5ae38/mza_11540139632533473606.jpg/600x600bb.jpg,"['1492', '26', '1321']","['Marketing', 'Podcasts', 'Business']",,,,,,,
1,track,song,1581065717,1581065722,Jass Manak,Bad Munda (feat. Emiway Bantai) - Single,Bad Munda (feat. Emiway Bantai),Bad Munda (feat. Emiway Bantai) - Single,Bad Munda (feat. Emiway Bantai),https://music.apple.com/in/album/bad-munda-feat-emiway-bantai/1581065717?i=1581065722&uo=4,,https://music.apple.com/in/album/bad-munda-feat-emiway-bantai/1581065717?i=1581065722&uo=4,https://is3-ssl.mzstatic.com/image/thumb/Music115/v4/b7/b5/cb/b7b5cb0e-1f41-d51e-32db-f46c70ff619c/cover.jpg/30x30bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music115/v4/b7/b5/cb/b7b5cb0e-1f41-d51e-32db-f46c70ff619c/cover.jpg/60x60bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music115/v4/b7/b5/cb/b7b5cb0e-1f41-d51e-32db-f46c70ff619c/cover.jpg/100x100bb.jpg,18.0,18.0,,2021-08-13T12:00:00Z,notExplicit,notExplicit,1,177273,IND,INR,Punjabi Pop,,,,,1371569616.0,https://music.apple.com/in/artist/jass-manak/1371569616?uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/5f/e9/18/5fe918af-e01a-7cab-1cc5-f9bd0df86693/mzaf_6695293729667101519.plus.aac.p.m4a,1.0,1.0,1.0,True
2,track,song,1677025010,1677025011,Rakesh rafukiya,Fuck Emiway (feat. Emiway Bantai) - Single,Fuck Emiway (feat. Emiway Bantai),Fuck Emiway (feat. Emiway Bantai) - Single,Fuck Emiway (feat. Emiway Bantai) [slowed reverb],https://music.apple.com/in/album/fuck-emiway-feat-emiway-bantai-slowed-reverb/1677025010?i=1677025011&uo=4,,https://music.apple.com/in/album/fuck-emiway-feat-emiway-bantai-slowed-reverb/1677025010?i=1677025011&uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/e2/05/32/e20532e4-8d55-e6dc-0b2d-7da839bb3f10/4039967336842_cover.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/e2/05/32/e20532e4-8d55-e6dc-0b2d-7da839bb3f10/4039967336842_cover.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/e2/05/32/e20532e4-8d55-e6dc-0b2d-7da839bb3f10/4039967336842_cover.jpg/100x100bb.jpg,15.0,15.0,,2023-03-14T12:00:00Z,explicit,explicit,1,170581,IND,INR,Hip-Hop/Rap,Explicit,,,,1569065434.0,https://music.apple.com/in/artist/rakesh-rafukiya/1569065434?uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/d3/d5/e3/d3d5e3fe-b8e3-78b3-833f-c3b9e9b844f8/mzaf_11240194116834903068.plus.aac.p.m4a,1.0,1.0,1.0,True
3,track,song,1581932201,1581932212,Jass Manak,Bad Munda,Bad Munda (feat. Emiway Bantai),Bad Munda,Bad Munda (feat. Emiway Bantai),https://music.apple.com/in/album/bad-munda-feat-emiway-bantai/1581932201?i=1581932212&uo=4,,https://music.apple.com/in/album/bad-munda-feat-emiway-bantai/1581932201?i=1581932212&uo=4,https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/37/d6/8b/37d68bb2-a1a6-e4b6-3b6d-75ebad35ad14/cover.jpg/30x30bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/37/d6/8b/37d68bb2-a1a6-e4b6-3b6d-75ebad35ad14/cover.jpg/60x60bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/37/d6/8b/37d68bb2-a1a6-e4b6-3b6d-75ebad35ad14/cover.jpg/100x100bb.jpg,140.0,18.0,,2021-08-13T12:00:00Z,notExplicit,notExplicit,9,177273,IND,INR,Regional Indian,,,,,1371569616.0,https://music.apple.com/in/artist/jass-manak/1371569616?uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/0d/c8/d2/0dc8d273-6016-71f3-86dc-097bc7f15f8c/mzaf_12860450116274781950.plus.aac.p.m4a,1.0,1.0,3.0,True
4,track,song,1594935972,1594935985,MEMAX,MEMAX - EP,Kya Bolte Bro (feat. Emiway Bantai & Loka),MEMAX - EP,Kya Bolte Bro (feat. Emiway Bantai & Loka),https://music.apple.com/in/album/kya-bolte-bro-feat-emiway-bantai-loka/1594935972?i=1594935985&uo=4,,https://music.apple.com/in/album/kya-bolte-bro-feat-emiway-bantai-loka/1594935972?i=1594935985&uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/14/2b/bf/142bbf8b-3a7b-025b-0b93-d7b87a386cec/cover.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/14/2b/bf/142bbf8b-3a7b-025b-0b93-d7b87a386cec/cover.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/14/2b/bf/142bbf8b-3a7b-025b-0b93-d7b87a386cec/cover.jpg/100x100bb.jpg,50.0,18.0,,2021-11-19T12:00:00Z,explicit,explicit,5,228846,IND,INR,Hip-Hop/Rap,Explicit,,,,1594935984.0,https://music.apple.com/in/artist/memax/1594935984?uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/91/39/9a/91399aef-92fd-ec3d-cd1e-3f2a7c51fb62/mzaf_5995985990861378201.plus.aac.p.m4a,1.0,1.0,1.0,True
5,track,song,1475000684,1475000686,Dax & Emiway Bantai,I Been That (feat. Emiway Bantai) - Single,I Been That (feat. Emiway Bantai),I Been That (feat. Emiway Bantai) - Single,I Been That (feat. Emiway Bantai),https://music.apple.com/in/album/i-been-that-feat-emiway-bantai/1475000684?i=1475000686&uo=4,,https://music.apple.com/in/album/i-been-that-feat-emiway-bantai/1475000684?i=1475000686&uo=4,https://is2-ssl.mzstatic.com/image/thumb/Music113/v4/5a/ed/bf/5aedbfe4-8856-359c-92ab-2e77a4b92dd0/11822.jpg/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music113/v4/5a/ed/bf/5aedbfe4-8856-359c-92ab-2e77a4b92dd0/11822.jpg/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music113/v4/5a/ed/bf/5aedbfe4-8856-359c-92ab-2e77a4b92dd0/11822.jpg/100x100bb.jpg,18.0,18.0,,2019-08-09T12:00:00Z,explicit,explicit,1,201874,IND,INR,Hip-Hop/Rap,Explicit,,,,1368102340.0,https://music.apple.com/in/artist/dax/1368102340?uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/8c/5d/fa/8c5dfa7e-ec99-d138-82b9-1667eb2d3d6d/mzaf_3250011312667891591.plus.aac.p.m4a,1.0,1.0,1.0,True
6,track,song,1671249420,1671249422,Abhimanyu Raj Lucifer,Jhalak Dikhlaja x Company (feat. MC STΔN & Emiway Bantai) - Single,Jhalak Dikhlaja x Company (feat. Emiway Bantai & MC STΔN),Jhalak Dikhlaja x Company (feat. MC STΔN & Emiway Bantai) - Single,Jhalak Dikhlaja x Company (feat. Emiway Bantai & MC STΔN) [Mc Stan x Emiway Bantai],https://music.apple.com/in/album/jhalak-dikhlaja-x-company-feat-emiway-bantai-mc-st%CE%B4n/1671249420?i=1671249422&uo=4,,https://music.apple.com/in/album/jhalak-dikhlaja-x-company-feat-emiway-bantai-mc-st%CE%B4n/1671249420?i=1671249422&uo=4,https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/5d/ab/76/5dab7685-d972-3a05-ad09-579f2263037c/4039967292926_cover.jpg/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/5d/ab/76/5dab7685-d972-3a05-ad09-579f2263037c/4039967292926_cover.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music126/v4/5d/ab/76/5dab7685-d972-3a05-ad09-579f2263037c/4039967292926_cover.jpg/100x100bb.jpg,15.0,15.0,,2023-02-09T12:00:00Z,explicit,explicit,1,127826,IND,INR,Hip-Hop/Rap,Explicit,,,,1614277657.0,https://music.apple.com/in/artist/abhimanyu-raj-lucifer/1614277657?uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/18/53/60/18536046-72b3-118e-d4d7-19e206f719f9/mzaf_4533860457497139834.plus.aac.p.m4a,1.0,1.0,1.0,True
7,track,song,1680153111,1680153115,Vilan Muzik,Tujh Mein Raab X Vijay Dk X Emiway Bantai (Remix) [feat. Vijay Dk & Emiway Bantai] - Single,Tujh Mein Raab X Vijay Dk X Emiway Bantai (Remix) [feat. Vijay Dk & Emiway Bantai],Tujh Mein Raab X Vijay Dk X Emiway Bantai (Remix) [feat. Vijay Dk & Emiway Bantai] - Single,Tujh Mein Raab X Vijay Dk X Emiway Bantai (Remix) [feat. Vijay Dk & Emiway Bantai],https://music.apple.com/in/album/tujh-mein-raab-x-vijay-dk-x-emiway-bantai-remix-feat/1680153111?i=1680153115&uo=4,,https://music.apple.com/in/album/tujh-mein-raab-x-vijay-dk-x-emiway-bantai-remix-feat/1680153111?i=1680153115&uo=4,https://is2-ssl.mzstatic.com/image/thumb/Music126/v4/b1/42/b9/b142b909-2144-b244-24c3-fe17f33891cf/4039967348081_cover.jpg/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music126/v4/b1/42/b9/b142b909-2144-b244-24c3-fe17f33891cf/4039967348081_cover.jpg/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music126/v4/b1/42/b9/b142b909-2144-b244-24c3-fe17f33891cf/4039967348081_cover.jpg/100x100bb.jpg,15.0,15.0,,2023-03-16T12:00:00Z,explicit,explicit,1,185773,IND,INR,Hip-Hop/Rap,Explicit,,,,1669366133.0,https://music.apple.com/in/artist/vilan-muzik/1669366133?uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/46/58/7e/46587e6c-bee4-4db5-fdbc-0b273ed62838/mzaf_14441195502361750483.plus.aac.p.m4a,1.0,1.0,1.0,True
8,track,song,1670226527,1670226528,Rakesh rafukiya,Company (feat. Emiway Bantai) - Single,Company (feat. Emiway Bantai),Company (feat. Emiway Bantai) - Single,Company (feat. Emiway Bantai) [Slowed Reverb],https://music.apple.com/in/album/company-feat-emiway-bantai-slowed-reverb/1670226527?i=1670226528&uo=4,,https://music.apple.com/in/album/company-feat-emiway-bantai-slowed-reverb/1670226527?i=1670226528&uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/f8/1d/2e/f81d2e65-a978-7bff-76ce-20916c2ae047/4039967291653_cover.jpg/30x30bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/f8/1d/2e/f81d2e65-a978-7bff-76ce-20916c2ae047/4039967291653_cover.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music116/v4/f8/1d/2e/f81d2e65-a978-7bff-76ce-20916c2ae047/4039967291653_cover.jpg/100x100bb.jpg,15.0,15.0,,2023-02-08T12:00:00Z,explicit,explicit,1,287296,IND,INR,Hip-Hop/Rap,Explicit,,,,1569065434.0,https://music.apple.com/in/artist/rakesh-rafukiya/1569065434?uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/82/3c/98/823c9858-ba06-cda4-abe7-e8a25b042326/mzaf_8244237117535986181.plus.aac.p.m4a,1.0,1.0,1.0,True
9,track,song,1603942123,1603942133,Jass Manka,Bad Munda (feat. Emiway Bantai) - Single,Bad Munda (feat. Emiway Bantai),Bad Munda (feat. Emiway Bantai) - Single,Bad Munda (feat. Emiway Bantai),https://music.apple.com/in/album/bad-munda-feat-emiway-bantai/1603942123?i=1603942133&uo=4,,https://music.apple.com/in/album/bad-munda-feat-emiway-bantai/1603942123?i=1603942133&uo=4,https://is3-ssl.mzstatic.com/image/thumb/Music126/v4/e8/ce/8d/e8ce8de1-f2f6-e484-b95e-2aea64914c45/196554322368.png/30x30bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music126/v4/e8/ce/8d/e8ce8de1-f2f6-e484-b95e-2aea64914c45/196554322368.png/60x60bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music126/v4/e8/ce/8d/e8ce8de1-f2f6-e484-b95e-2aea64914c45/196554322368.png/100x100bb.jpg,15.0,15.0,,2021-08-13T12:00:00Z,notExplicit,notExplicit,1,177294,IND,INR,Indian Pop,,,,,1603941832.0,https://music.apple.com/in/artist/jass-manka/1603941832?uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/93/4b/26/934b2603-6934-d5ec-fafc-8cdcffc23226/mzaf_3500544586452591624.plus.aac.p.m4a,1.0,1.0,1.0,True
10,track,song,1677025981,1677025982,Rakesh rafukiya,No Love (feat. Emiway Bantai & Loka) - Single,No Love (feat. Emiway Bantai & Loka),No Love (feat. Emiway Bantai & Loka) - Single,No Love (feat. Emiway Bantai & Loka) [slowed reverb],https://music.apple.com/in/album/no-love-feat-emiway-bantai-loka-slowed-reverb/1677025981?i=1677025982&uo=4,,https://music.apple.com/in/album/no-love-feat-emiway-bantai-loka-slowed-reverb/1677025981?i=1677025982&uo=4,https://is3-ssl.mzstatic.com/image/thumb/Music116/v4/47/ab/04/47ab0446-646e-a7cf-de6e-543cb990be83/4039967337351_cover.jpg/30x30bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music116/v4/47/ab/04/47ab0446-646e-a7cf-de6e-543cb990be83/4039967337351_cover.jpg/60x60bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music116/v4/47/ab/04/47ab0446-646e-a7cf-de6e-543cb990be83/4039967337351_cover.jpg/100x100bb.jpg,15.0,15.0,,2023-03-14T12:00:00Z,notExplicit,notExplicit,1,276373,IND,INR,Hip-Hop/Rap,,,,,1569065434.0,https://music.apple.com/in/artist/rakesh-rafukiya/1569065434?uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/21/7e/68/217e6823-0233-6856-7f05-231740982f70/mzaf_9430912906045116942.plus.aac.p.m4a,1.0,1.0,1.0,True
11,track,song,1453418554,1453418756,Mukkta K,24k Gold (feat. Emiway Bantai) - Single,24k Gold (feat. Emiway Bantai),24k Gold (feat. Emiway Bantai) - Single,24k Gold (feat. Emiway Bantai),https://music.apple.com/in/album/24k-gold-feat-emiway-bantai/1453418554?i=1453418756&uo=4,,https://music.apple.com/in/album/24k-gold-feat-emiway-bantai/1453418554?i=1453418756&uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/3e/41/c6/3e41c626-924d-6085-2d47-32fa87d64fbe/859730934310_cover.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/3e/41/c6/3e41c626-924d-6085-2d47-32fa87d64fbe/859730934310_cover.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/3e/41/c6/3e41c626-924d-6085-2d47-32fa87d64fbe/859730934310_cover.jpg/100x100bb.jpg,15.0,15.0,,2018-01-29T12:00:00Z,explicit,explicit,1,185806,IND,INR,Hip-Hop/Rap,Explicit,,,,1453418573.0,https://music.apple.com/in/artist/mukkta-k/1453418573?uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/c5/91/7d/c5917d58-35a4-805e-67be-6c9319900ff7/mzaf_8080838273490229926.plus.aac.p.m4a,1.0,1.0,1.0,True
12,track,song,1684598369,1684598374,Rakesh rafukiya,Chhod Dala (feat. Emiway Bantai) - Single,Chhod Dala (feat. Emiway Bantai),Chhod Dala (feat. Emiway Bantai) - Single,Chhod Dala (feat. Emiway Bantai) [Lofi version],https://music.apple.com/in/album/chhod-dala-feat-emiway-bantai-lofi-version/1684598369?i=1684598374&uo=4,,https://music.apple.com/in/album/chhod-dala-feat-emiway-bantai-lofi-version/1684598369?i=1684598374&uo=4,https://is5-ssl.mzstatic.com/image/thumb/Music126/v4/85/74/b4/8574b433-3134-0602-7bd9-98fa94447047/4039967373533_cover.jpg/30x30bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music126/v4/85/74/b4/8574b433-3134-0602-7bd9-98fa94447047/4039967373533_cover.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music126/v4/85/74/b4/8574b433-3134-0602-7bd9-98fa94447047/4039967373533_cover.jpg/100x100bb.jpg,15.0,15.0,,2023-04-25T12:00:00Z,explicit,explicit,1,287926,IND,INR,Electronic,Explicit,,,,1569065434.0,https://music.apple.com/in/artist/rakesh-rafukiya/1569065434?uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/88/69/c5/8869c535-bcd9-5363-fc28-12a0fb293c43/mzaf_10741350982750819421.plus.aac.p.m4a,1.0,1.0,1.0,True
13,track,song,1677025227,1677025228,Rakesh rafukiya,Momma (feat. Emiway Bantai) - Single,Momma (feat. Emiway Bantai),Momma (feat. Emiway Bantai) - Single,Momma (feat. Emiway Bantai) [slowed reverb],https://music.apple.com/in/album/momma-feat-emiway-bantai-slowed-reverb/1677025227?i=1677025228&uo=4,,https://music.apple.com/in/album/momma-feat-emiway-bantai-slowed-reverb/1677025227?i=1677025228&uo=4,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/8a/5b/a5/8a5ba5c3-e4d7-1328-c9c0-b55e4474b4db/4039967337931_cover.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/8a/5b/a5/8a5ba5c3-e4d7-1328-c9c0-b55e4474b4db/4039967337931_cover.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/8a/5b/a5/8a5ba5c3-e4d7-1328-c9c0-b55e4474b4db/4039967337931_cover.jpg/100x100bb.jpg,15.0,15.0,,2023-03-15T12:00:00Z,notExplicit,notExplicit,1,217405,IND,INR,Hip-Hop/Rap,,,,,1569065434.0,https://music.apple.com/in/artist/rakesh-rafukiya/1569065434?uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/f9/71/b4/f971b456-7049-7d51-f6b3-b3ebe7f98c46/mzaf_13944355302809803208.plus.aac.p.m4a,1.0,1.0,1.0,True
14,track,song,1682118391,1682118392,Rakesh rafukiya,"Dhh X Sairat (feat. MC STΔN, Vijay Dk, Divine, Muhfaad & Emiway Bantai) - Single","Dhh X Sairat (feat. MC Stan, Divine, Emiway Bantai, Vijay Dk & Muhfaad)","Dhh X Sairat (feat. MC STΔN, Vijay Dk, Divine, Muhfaad & Emiway Bantai) - Single","Dhh X Sairat (feat. MC Stan, Divine, Emiway Bantai, Vijay Dk & Muhfaad) [REMIX]",https://music.apple.com/in/album/dhh-x-sairat-feat-mc-stan-divine-emiway-bantai-vijay/1682118391?i=1682118392&uo=4,,https://music.apple.com/in/album/dhh-x-sairat-feat-mc-stan-divine-emiway-bantai-vijay/1682118391?i=1682118392&uo=4,https://is2-ssl.mzstatic.com/image/thumb/Music116/v4/15/e0/b4/15e0b431-1278-fd8e-6e2f-96a3db88e386/4039967357878_cover.jpg/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music116/v4/15/e0/b4/15e0b431-1278-fd8e-6e2f-96a3db88e386/4039967357878_cover.jpg/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music116/v4/15/e0/b4/15e0b431-1278-fd8e-6e2f-96a3db88e386/4039967357878_cover.jpg/100x100bb.jpg,15.0,15.0,,2023-04-07T12:00:00Z,explicit,explicit,1,183325,IND,INR,Hip-Hop/Rap,Explicit,,,,1569065434.0,https://music.apple.com/in/artist/rakesh-rafukiya/1569065434?uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/8c/bc/26/8cbc26e7-ac31-9f40-fe7f-12a928e46375/mzaf_16534988445240344457.plus.aac.p.m4a,1.0,1.0,1.0,True
